ID,Priority,Status,Are,Title,Description,Source,Created On
RM-015,P2,,VR/SBS,VR pre-projection options for detection,Optional fisheye/v360 transforms to improve detector performance on VR projections; keep fast path.,Zelefans notes,1/27/2026
RM-016,P3,,Packaging,Inference-only model graph port,Port/verify inference-only graph (TSA/PCD/residual) to minimize overhead; ensure weights load without training deps.,Oct-28.md:410,1/27/2026
RM-017,P3,,Diagnostics,Startup banner: file version + config echo,Print build/version hash and resolved config at startup for reproducibility.,Nov-03.md:2528,1/27/2026
RM-018,P3,,UX,Progress indicators,Add progress bars / throughput readout; keep logs clean under MF_DEBUG/GR_DEBUG.,Nov-03.md:1040,1/27/2026
RM-019,P0,,Detection,Inference-Letterbox ,Keep mask postproc + compositor ops on-device (torch); eliminate unnecessary CPU conversions.,GS/chatGPT,1/27/2026
RM-020,P1,,Debug,Standardize env-var debug controls,Keep and standardize env-var driven debug hooks across modules (dump frames/masks/boxes).,Halo investigation; mask/alpha/overlay dumps; unify toggles,1/29/2026
RM-021,P1,,Pipeline,Avoid pinned min_active_start,Implement rolling clip finalization so long active scenes don’t pin min_active_start; let safe_before advance and frames drain.Add per-scene “emitted watermark” (safe_emitted_until) so safe_before can move forward during long scenes; reduce buffering.,Claude suggestion merge,2/15/2026
RM-022,P0,,Pipeline,Bound FrameStore growth (cap + emergency ceiling),Add FrameStore max_frames with backpressure; when blocked by active scene (safe_before pinned)- temporarily raise cap to bounded emergency ceiling; otherwise block/retry (no runaway decode).,ClaudeParityAnalysis.md:11.3; patch CHANGE-2 followup,2/15/2026
RM-023,P1,,CLI/UX,Add strict LADA parity preset (disable stabilization),"Provide a one-flag preset (or config profile) that sets crop_quant_px=0, crop_sticky=False, match_pad_px=0 (and any other stabilization extras) for apples-to-apples parity testing.",ClaudeParityAnalysis.md:11.2 #1; 7.1 #1-2,2/15/2026
RM-024,P1,,Restoration,Add big-ROI quality warning + clip_size option,Track downscale ratio (roi_area vs clip_size^2) and warn when restoration heavily downsamples; allow clip_size=512 (or configurable) when VRAM allows.,ClaudeParityAnalysis.md:8.1,2/15/2026
RM-025,P2,,Restoration,Tile very large ROIs for restoration,"For ROIs covering large % of frame, split into overlapping tiles (e.g., 256x256), restore each, then feather-blend tiles back to avoid extreme downscale artifacts.",ClaudeParityAnalysis.md:8.1,2/15/2026
RM-026,P0,,Video I/O,Robust PTS/timebase handling (VFR-safe mode),"Plumb per-frame PTS end-to-end and infer timebase (ns/us/90k/etc.) before deriving fps; if VFR detected, warn and choose explicit strategy (CFR by avg fps vs true VFR container path).",ClaudeParityAnalysis.md:10.3; 11.2 #5; existing RM-003 related,2/15/2026
RM-027,P2,,Performance,Overlap detection and restoration with CUDA streams,Use separate CUDA streams (and events) to overlap YOLO and BasicVSR++ work where possible; profile to ensure net throughput gain without VRAM spikes.,ClaudeParityAnalysis.md:9.2,2/15/2026
RM-028,P3,,Cleanup,Remove redundant double mask OR in _compute_crop,Eliminate the second seg_mask OR pass in _compute_crop (idempotent) to reduce clutter and avoid confusion in parity reviews.,ClaudeParityAnalysis.md:11.2 #4; 7.1 #4,2/15/2026
RM-029,P3,,Testing,Test non-256 clip_size mapping in crop_box_to_target_v3,Add a unit test (or quick harness) to verify crop_box_to_target_v3 target_hw mapping behaves correctly for clip_size != 256 / non-square targets.,ClaudeParityAnalysis.md:11.2 #3,2/15/2026
RM-030,P0,,Packaging,Build a packager for gRestorer - on Windows,"Create one executable, with config outside of _internal, at the same level as gRestorer.exe",GS,2/17/2026
RM-031,P4,,Packaging,Build a packager for gRestorer - on Unix,Build packager for Unix,GS,2/17/2026
